market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2122-T88999.99,KXBTCD,1745283660,2025-04-22T01:01:00+00:00,,,,,0,0,0,0,3,3,2,2,0,0
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284620,2025-04-22T01:17:00+00:00,2.0,2.0,2.0,2.0,0,3,0,0,2,21,2,4,130,130
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284680,2025-04-22T01:18:00+00:00,,,,,0,3,0,3,4,8,4,8,0,130
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284740,2025-04-22T01:19:00+00:00,,,,,3,8,0,5,8,13,7,11,0,130
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284800,2025-04-22T01:20:00+00:00,15.0,15.0,8.0,8.0,5,11,3,6,11,17,8,11,70,175
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284860,2025-04-22T01:21:00+00:00,14.0,21.0,7.0,7.0,6,23,3,20,11,46,11,26,95,185
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284920,2025-04-22T01:22:00+00:00,25.0,36.0,25.0,36.0,20,33,11,32,26,53,23,36,112,279
KXBTCD-25APR2122-T88999.99,KXBTCD,1745284980,2025-04-22T01:23:00+00:00,29.0,57.0,29.0,57.0,32,32,22,24,36,57,25,27,214,443
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285040,2025-04-22T01:24:00+00:00,18.0,18.0,18.0,18.0,24,24,15,16,27,33,19,19,49,394
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285100,2025-04-22T01:25:00+00:00,,,,,16,19,9,9,19,25,14,14,0,394
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285160,2025-04-22T01:26:00+00:00,,,,,9,16,9,16,14,22,13,17,0,394
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285220,2025-04-22T01:27:00+00:00,17.0,17.0,14.0,14.0,16,17,6,10,17,24,13,14,79,420
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285280,2025-04-22T01:28:00+00:00,9.0,9.0,9.0,9.0,10,10,3,4,14,14,9,9,45,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285340,2025-04-22T01:29:00+00:00,,,,,4,6,3,3,9,12,7,7,0,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285400,2025-04-22T01:30:00+00:00,,,,,3,4,0,2,7,8,5,7,0,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285460,2025-04-22T01:31:00+00:00,,,,,2,5,1,4,7,10,5,7,0,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285520,2025-04-22T01:32:00+00:00,,,,,4,7,3,4,7,14,7,8,0,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285580,2025-04-22T01:33:00+00:00,,,,,4,8,3,6,8,12,7,10,0,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285640,2025-04-22T01:34:00+00:00,4.0,4.0,4.0,4.0,6,7,3,3,10,10,7,7,10,395
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285700,2025-04-22T01:35:00+00:00,7.0,8.0,4.0,4.0,3,4,1,2,7,8,4,4,229,468
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285760,2025-04-22T01:36:00+00:00,1.0,1.0,1.0,1.0,2,3,0,0,4,5,1,5,300,689
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285820,2025-04-22T01:37:00+00:00,1.0,1.0,1.0,1.0,0,1,0,0,5,11,2,5,250,866
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285880,2025-04-22T01:38:00+00:00,,,,,0,1,0,0,5,11,3,3,0,866
KXBTCD-25APR2122-T88999.99,KXBTCD,1745285940,2025-04-22T01:39:00+00:00,,,,,0,0,0,0,3,3,1,1,0,866
KXBTCD-25APR2122-T88999.99,KXBTCD,1745286000,2025-04-22T01:40:00+00:00,1.0,3.0,1.0,3.0,0,0,0,0,1,22,1,10,578,1266
KXBTCD-25APR2122-T88999.99,KXBTCD,1745286060,2025-04-22T01:41:00+00:00,,,,,0,0,0,0,10,10,1,1,0,1266
KXBTCD-25APR2122-T88999.99,KXBTCD,1745286120,2025-04-22T01:42:00+00:00,1.0,3.0,1.0,3.0,0,0,0,0,1,3,1,3,35,1242
KXBTCD-25APR2122-T88999.99,KXBTCD,1745286960,2025-04-22T01:56:00+00:00,,,,,0,0,0,0,3,9,3,7,0,1242
KXBTCD-25APR2122-T88999.99,KXBTCD,1745287020,2025-04-22T01:57:00+00:00,,,,,0,0,0,0,7,9,5,5,0,1242
KXBTCD-25APR2122-T88999.99,KXBTCD,1745287080,2025-04-22T01:58:00+00:00,,,,,0,0,0,0,5,22,5,22,0,1242
