market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848060,2025-04-17T00:01:00+00:00,77.0,77.0,77.0,77.0,74,77,2,77,100,100,79,79,5,5
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848120,2025-04-17T00:02:00+00:00,81.0,81.0,78.0,78.0,77,81,76,78,79,95,79,82,45,50
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848180,2025-04-17T00:03:00+00:00,82.0,82.0,82.0,82.0,78,81,60,78,82,87,80,80,50,100
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848240,2025-04-17T00:04:00+00:00,80.0,80.0,80.0,80.0,78,83,78,83,80,91,80,87,9,100
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848300,2025-04-17T00:05:00+00:00,81.0,81.0,81.0,81.0,83,86,79,86,87,96,82,90,2,102
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848360,2025-04-17T00:06:00+00:00,86.0,87.0,86.0,86.0,86,90,85,87,90,97,89,90,39,132
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848420,2025-04-17T00:07:00+00:00,86.0,86.0,82.0,82.0,87,87,82,82,90,90,85,85,298,347
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848480,2025-04-17T00:08:00+00:00,82.0,82.0,81.0,81.0,82,82,74,77,85,86,80,85,14,361
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848540,2025-04-17T00:09:00+00:00,85.0,85.0,85.0,85.0,77,86,76,85,85,90,85,88,10,371
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848600,2025-04-17T00:10:00+00:00,85.0,85.0,81.0,81.0,85,85,78,82,88,90,81,89,100,471
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848660,2025-04-17T00:11:00+00:00,,,,,82,85,81,81,89,90,87,87,0,471
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848720,2025-04-17T00:12:00+00:00,,,,,81,85,79,79,87,87,85,85,0,471
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848780,2025-04-17T00:13:00+00:00,80.0,80.0,80.0,80.0,79,81,79,80,85,88,85,85,9,471
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848840,2025-04-17T00:14:00+00:00,,,,,80,80,77,78,85,85,80,80,0,471
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848900,2025-04-17T00:15:00+00:00,80.0,80.0,77.0,77.0,78,79,75,78,80,80,80,80,26,497
KXBTCD-25APR1621-T83749.99,KXBTCD,1744848960,2025-04-17T00:16:00+00:00,80.0,81.0,77.0,81.0,78,80,73,79,80,85,77,85,76,557
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849020,2025-04-17T00:17:00+00:00,,,,,79,85,76,82,85,91,85,89,0,557
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849080,2025-04-17T00:18:00+00:00,,,,,82,87,78,83,89,91,89,89,0,557
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849140,2025-04-17T00:19:00+00:00,89.0,89.0,89.0,89.0,83,84,78,82,89,91,88,89,195,752
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849200,2025-04-17T00:20:00+00:00,87.0,87.0,85.0,85.0,82,86,76,85,89,91,86,86,106,758
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849260,2025-04-17T00:21:00+00:00,85.0,85.0,85.0,85.0,85,85,80,80,86,91,81,84,44,802
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849320,2025-04-17T00:22:00+00:00,80.0,80.0,80.0,80.0,80,80,76,79,83,92,80,86,10,812
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849380,2025-04-17T00:23:00+00:00,,,,,79,85,75,85,86,93,85,91,0,812
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849440,2025-04-17T00:24:00+00:00,,,,,85,86,81,83,91,93,87,88,0,812
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849500,2025-04-17T00:25:00+00:00,84.0,84.0,84.0,84.0,83,84,78,80,88,91,86,87,5,812
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849560,2025-04-17T00:26:00+00:00,88.0,88.0,88.0,88.0,80,87,80,83,87,91,87,89,39,851
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849620,2025-04-17T00:27:00+00:00,90.0,90.0,90.0,90.0,83,89,83,89,89,96,89,95,55,906
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849680,2025-04-17T00:28:00+00:00,,,,,89,92,89,89,95,97,94,94,0,906
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849740,2025-04-17T00:29:00+00:00,,,,,89,91,83,91,94,96,89,92,0,906
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849800,2025-04-17T00:30:00+00:00,91.0,91.0,91.0,91.0,91,91,86,88,92,97,91,94,60,927
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849860,2025-04-17T00:31:00+00:00,,,,,88,93,87,93,94,97,92,96,0,927
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849920,2025-04-17T00:32:00+00:00,97.0,97.0,97.0,97.0,93,96,92,93,96,100,96,98,50,977
KXBTCD-25APR1621-T83749.99,KXBTCD,1744849980,2025-04-17T00:33:00+00:00,95.0,95.0,95.0,95.0,93,95,92,95,98,100,98,100,18,995
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850040,2025-04-17T00:34:00+00:00,,,,,95,96,92,94,100,100,97,100,0,995
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850100,2025-04-17T00:35:00+00:00,,,,,94,95,92,94,100,100,97,97,0,995
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850160,2025-04-17T00:36:00+00:00,,,,,94,95,94,94,97,98,97,97,0,995
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850220,2025-04-17T00:37:00+00:00,,,,,94,96,94,96,97,98,96,98,0,995
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850280,2025-04-17T00:38:00+00:00,97.0,99.0,97.0,99.0,96,97,92,94,98,99,98,99,16,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850340,2025-04-17T00:39:00+00:00,,,,,94,96,92,93,99,99,99,99,0,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850400,2025-04-17T00:40:00+00:00,99.0,99.0,99.0,99.0,93,97,92,93,99,100,99,100,4,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850580,2025-04-17T00:43:00+00:00,,,,,93,96,92,93,100,100,100,100,0,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850640,2025-04-17T00:44:00+00:00,,,,,93,96,92,95,100,100,100,100,0,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850700,2025-04-17T00:45:00+00:00,,,,,95,96,92,95,100,100,100,100,0,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850760,2025-04-17T00:46:00+00:00,,,,,95,97,94,96,100,100,99,100,0,999
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850820,2025-04-17T00:47:00+00:00,95.0,96.0,95.0,96.0,96,96,91,91,100,100,100,100,12,1011
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850880,2025-04-17T00:48:00+00:00,,,,,91,91,90,91,100,100,100,100,0,1011
KXBTCD-25APR1621-T83749.99,KXBTCD,1744850940,2025-04-17T00:49:00+00:00,,,,,91,91,89,90,100,100,100,100,0,1011
KXBTCD-25APR1621-T83749.99,KXBTCD,1744851000,2025-04-17T00:50:00+00:00,,,,,90,96,89,96,100,100,100,100,0,1011
KXBTCD-25APR1621-T83749.99,KXBTCD,1744851420,2025-04-17T00:57:00+00:00,,,,,96,99,96,99,100,100,100,100,0,1011
