trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,kalshi_outcome_target,pnl_cents
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T100999.99,100999.99,1746824400,1746748800,1260.00,BUY_YES,0.9413,94,1,1,6
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T105499.99,105499.99,1746824400,1746748800,1260.00,BUY_NO,0.2917,70,1,0,30
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T102999.99,102999.99,1746824400,1746748800,1260.00,BUY_YES,0.7312,73,1,1,27
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T104999.99,104999.99,1746824400,1746748800,1260.00,BUY_NO,0.3463,65,1,0,35
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T102499.99,102499.99,1746824400,1746748800,1260.00,BUY_YES,0.8132,81,1,1,19
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T101499.99,101499.99,1746824400,1746748800,1260.00,BUY_YES,0.9169,91,1,1,9
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T103499.99,103499.99,1746824400,1746748800,1260.00,BUY_YES,0.6290,62,1,0,-62
2025-05-09T00:00:00+00:00,KXBTCD-25MAY0917-T101999.99,101999.99,1746824400,1746748800,1260.00,BUY_YES,0.8765,87,1,1,13
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T102999.99,102999.99,1746824400,1746748860,1259.00,BUY_YES,0.7108,71,1,1,29
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T104249.99,104249.99,1746752400,1746748860,59.00,BUY_NO,0.0483,95,1,0,5
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T101999.99,101999.99,1746824400,1746748860,1259.00,BUY_YES,0.8645,86,1,1,14
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T102249.99,102249.99,1746752400,1746748860,59.00,BUY_YES,0.9615,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T102499.99,102499.99,1746752400,1746748860,59.00,BUY_YES,0.9550,95,1,1,5
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T105499.99,105499.99,1746752400,1746748860,59.00,BUY_NO,0.1307,86,1,0,14
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T100999.99,100999.99,1746824400,1746748860,1259.00,BUY_YES,0.9401,94,1,1,6
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T102749.99,102749.99,1746752400,1746748860,59.00,BUY_YES,0.9228,92,1,1,8
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T101749.99,101749.99,1746752400,1746748860,59.00,BUY_YES,0.9606,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T102499.99,102499.99,1746824400,1746748860,1259.00,BUY_YES,0.8036,80,1,1,20
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T102999.99,102999.99,1746752400,1746748860,59.00,BUY_YES,0.7597,75,1,0,-75
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T101499.99,101499.99,1746752400,1746748860,59.00,BUY_YES,0.9621,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T100749.99,100749.99,1746752400,1746748860,59.00,BUY_YES,0.9663,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T100999.99,100999.99,1746752400,1746748860,59.00,BUY_YES,0.9647,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T103999.99,103999.99,1746752400,1746748860,59.00,BUY_NO,0.0751,92,1,0,8
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T105749.99,105749.99,1746752400,1746748860,59.00,BUY_NO,0.1377,86,1,0,14
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T104999.99,104999.99,1746824400,1746748860,1259.00,BUY_NO,0.3318,66,1,0,34
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T101499.99,101499.99,1746824400,1746748860,1259.00,BUY_YES,0.9128,91,1,1,9
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T104999.99,104999.99,1746752400,1746748860,59.00,BUY_NO,0.1193,88,1,0,12
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T103749.99,103749.99,1746752400,1746748860,59.00,BUY_NO,0.1215,87,1,0,13
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T101999.99,101999.99,1746752400,1746748860,59.00,BUY_YES,0.9642,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T104499.99,104499.99,1746752400,1746748860,59.00,BUY_NO,0.1109,88,1,0,12
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T103499.99,103499.99,1746752400,1746748860,59.00,BUY_NO,0.1497,85,1,0,15
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T105499.99,105499.99,1746824400,1746748860,1259.00,BUY_NO,0.2772,72,1,0,28
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T105249.99,105249.99,1746752400,1746748860,59.00,BUY_NO,0.1246,87,1,0,13
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T104749.99,104749.99,1746752400,1746748860,59.00,BUY_NO,0.1148,88,1,0,12
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0821-T101249.99,101249.99,1746752400,1746748860,59.00,BUY_YES,0.9633,96,1,1,4
2025-05-09T00:01:00+00:00,KXBTCD-25MAY0917-T103499.99,103499.99,1746824400,1746748860,1259.00,BUY_YES,0.6056,60,1,0,-60
2025-05-09T00:02:00+00:00,KXBTCD-25MAY0821-T100749.99,100749.99,1746752400,1746748920,58.00,BUY_YES,0.9683,96,1,1,4
2025-05-09T00:02:00+00:00,KXBTCD-25MAY0821-T101999.99,101999.99,1746752400,1746748920,58.00,BUY_YES,0.9663,96,1,1,4
2025-05-09T00:02:00+00:00,KXBTCD-25MAY0917-T101999.99,101999.99,1746824400,1746748920,1258.00,BUY_YES,0.8703,87,1,1,13
2025-05-09T00:02:00+00:00,KXBTCD-25MAY0917-T100999.99,100999.99,1746824400,1746748920,1258.00,BUY_YES,0.9412,94,1,1,6
