decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision,kalshi_yes_ask_at_decision,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,capital_after_trade
2025-05-19T23:06:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9803,,81.0,87.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:07:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9827,,83.0,88.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:08:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9783,,81.0,82.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:09:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9771,,80.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:10:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9815,,82.0,83.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:11:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9804,,82.0,84.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:12:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9748,,79.0,82.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:13:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9746,,79.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:14:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9724,,77.0,81.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:15:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9722,,78.0,79.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:16:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9718,,79.0,80.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:17:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9734,,79.0,83.0,NO_TRADE,0,,,yes,500.0
2025-05-19T23:18:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.965,0.965,75.0,76.0,BUY_YES,28,76.0,672.0,yes,506.72
2025-05-19T23:19:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9493,0.9493,67.0,69.0,BUY_YES,30,69.0,930.0,yes,516.02
2025-05-19T23:20:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9476,0.9476,67.0,69.0,BUY_YES,31,69.0,961.0,yes,525.63
2025-05-19T23:21:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9575,0.9575,72.0,74.0,BUY_YES,29,74.0,754.0,yes,533.17
2025-05-19T23:22:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9203,0.9203,61.0,66.0,BUY_YES,30,66.0,1020.0,yes,543.37
2025-05-19T23:23:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.946,0.946,70.0,71.0,BUY_YES,31,71.0,899.0,yes,552.36
2025-05-19T23:24:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9227,0.9227,63.0,69.0,BUY_YES,30,69.0,930.0,yes,561.66
2025-05-19T23:25:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.93,0.93,63.0,66.0,BUY_YES,33,66.0,1122.0,yes,572.88
2025-05-19T23:26:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.9082,0.9082,62.0,64.0,BUY_YES,33,64.0,1188.0,yes,584.76
2025-05-19T23:27:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8889,0.8889,55.0,59.0,BUY_YES,36,59.0,1476.0,yes,599.52
2025-05-19T23:28:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8407,0.8407,50.0,53.0,BUY_YES,37,53.0,1739.0,yes,616.91
2025-05-19T23:29:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8261,0.8261,49.0,53.0,BUY_YES,36,53.0,1692.0,yes,633.83
2025-05-19T23:30:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8108,0.8108,49.0,50.0,BUY_YES,39,50.0,1950.0,yes,653.33
2025-05-19T23:31:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8205,0.8205,52.0,54.0,BUY_YES,36,54.0,1656.0,yes,669.89
2025-05-19T23:32:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.7985,0.7985,50.0,55.0,BUY_YES,33,55.0,1485.0,yes,684.74
2025-05-19T23:33:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8677,0.8677,59.0,60.0,BUY_YES,38,60.0,1520.0,yes,699.94
2025-05-19T23:34:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8743,0.8743,60.0,64.0,BUY_YES,35,64.0,1260.0,yes,712.54
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.905,0.905,63.0,68.0,BUY_YES,36,68.0,1152.0,yes,724.06
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8606,0.8606,55.0,60.0,BUY_YES,39,60.0,1560.0,yes,739.66
2025-05-19T23:37:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8585,0.8585,52.0,56.0,BUY_YES,44,56.0,1936.0,yes,759.02
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8688,0.8688,55.0,59.0,BUY_YES,43,59.0,1763.0,yes,776.65
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,0.8915,0.8915,58.0,64.0,BUY_YES,42,64.0,1512.0,yes,791.77
