market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745260,2025-05-08T23:01:00+00:00,,,,,85,85,0,78,100,100,83,87,0,0
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745320,2025-05-08T23:02:00+00:00,77.0,77.0,75.0,75.0,78,78,70,74,87,92,83,84,392,392
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745380,2025-05-08T23:03:00+00:00,,,,,74,75,65,69,84,84,75,78,0,392
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745440,2025-05-08T23:04:00+00:00,71.0,71.0,71.0,71.0,69,75,69,73,78,84,75,78,2,394
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745500,2025-05-08T23:05:00+00:00,,,,,73,79,72,74,78,83,78,80,0,394
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745560,2025-05-08T23:06:00+00:00,,,,,74,82,70,82,80,85,77,85,0,394
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745620,2025-05-08T23:07:00+00:00,,,,,82,83,79,83,85,85,85,85,0,394
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745680,2025-05-08T23:08:00+00:00,,,,,83,84,79,82,85,85,85,85,0,394
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745740,2025-05-08T23:09:00+00:00,85.0,85.0,85.0,85.0,82,84,78,82,85,85,84,85,10,404
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745800,2025-05-08T23:10:00+00:00,84.0,84.0,84.0,84.0,82,84,80,84,85,87,85,87,25,429
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745860,2025-05-08T23:11:00+00:00,87.0,87.0,87.0,87.0,84,88,82,87,87,93,87,91,290,719
KXBTCD-25MAY0820-T102499.99,KXBTCD,1746745920,2025-05-08T23:12:00+00:00,91.0,91.0,91.0,91.0,87,89,87,88,91,93,91,92,1,719
