decision_timestamp_utc,market_ticker,kalshi_strike_price,predicted_proba_yes,model_prob_chosen_side,kalshi_yes_bid_at_decision,kalshi_yes_ask_at_decision,executed_trade_action,num_contracts_sim,simulated_entry_price_cents,pnl_cents,actual_market_result,session_capital_after_trade
2025-05-11T23:00:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4859,,,,NO_TRADE,0,,,no,500.0
2025-05-11T23:01:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4846,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:02:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4865,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:03:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4877,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:04:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.4886,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:05:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5005,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:06:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.502,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:07:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5166,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:08:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5153,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:09:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5183,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:10:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5165,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:11:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5138,,0.0,16.0,NO_TRADE,0,,,no,500.0
2025-05-11T23:12:00+00:00,KXBTCD-25MAY1120-T106249.99,106249.99,0.5183,,0.0,16.0,NO_TRADE,0,,,no,500.0
