trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697760,24.00,BUY_NO,0.0776,92,8,0,64,50000,0.0296 if live_cfg.USE_KELLY_CRITERION else '',739,736
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697880,22.00,BUY_NO,0.0661,93,15,0,105,50064,0.0558 if live_cfg.USE_KELLY_CRITERION else '',1398,1395
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697940,21.00,BUY_NO,0.0665,93,13,0,91,50169,0.0500 if live_cfg.USE_KELLY_CRITERION else '',1254,1209
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747698000,20.00,BUY_NO,0.0660,93,15,0,105,50260,0.0570 if live_cfg.USE_KELLY_CRITERION else '',1432,1395
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698300,15.00,BUY_YES,0.9346,93,17,1,119,50365,0.0663 if live_cfg.USE_KELLY_CRITERION else '',1670,1581
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698420,13.00,BUY_YES,0.9444,94,19,1,114,50484,0.0740 if live_cfg.USE_KELLY_CRITERION else '',1868,1786
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698480,12.00,BUY_YES,0.9512,95,6,1,30,50598,0.0232 if live_cfg.USE_KELLY_CRITERION else '',588,570
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747698600,10.00,BUY_NO,0.0583,94,7,0,42,50628,0.0278 if live_cfg.USE_KELLY_CRITERION else '',703,658
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698900,5.00,BUY_YES,0.9611,96,7,1,28,50670,0.0275 if live_cfg.USE_KELLY_CRITERION else '',696,672
2025-05-19T23:57:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747699020,3.00,BUY_YES,0.9649,96,32,1,128,50698,0.1216 if live_cfg.USE_KELLY_CRITERION else '',3083,3072
