market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747000860,2025-05-11T22:01:00+00:00,,,,,95,97,95,97,100,100,100,100,0,0
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747000920,2025-05-11T22:02:00+00:00,,,,,97,97,97,97,100,100,100,100,0,0
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747000980,2025-05-11T22:03:00+00:00,,,,,97,98,97,98,100,100,100,100,0,0
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001040,2025-05-11T22:04:00+00:00,,,,,98,98,96,97,100,100,98,98,0,0
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001100,2025-05-11T22:05:00+00:00,,,,,97,97,86,86,98,98,87,88,0,0
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001160,2025-05-11T22:06:00+00:00,86.0,86.0,86.0,86.0,86,86,76,79,88,93,80,80,1,1
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001220,2025-05-11T22:07:00+00:00,81.0,81.0,81.0,81.0,79,82,72,76,80,87,76,77,100,101
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001280,2025-05-11T22:08:00+00:00,75.0,75.0,75.0,75.0,76,77,72,76,77,81,75,78,100,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001340,2025-05-11T22:09:00+00:00,78.0,78.0,78.0,78.0,76,78,73,76,78,82,78,80,100,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001400,2025-05-11T22:10:00+00:00,,,,,76,83,75,83,80,90,80,87,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001460,2025-05-11T22:11:00+00:00,,,,,83,84,82,84,87,94,86,87,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001520,2025-05-11T22:12:00+00:00,,,,,84,84,78,83,87,96,83,89,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001580,2025-05-11T22:13:00+00:00,,,,,83,86,82,86,89,91,86,89,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001640,2025-05-11T22:14:00+00:00,89.0,89.0,89.0,89.0,86,88,83,88,89,95,89,93,17,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001700,2025-05-11T22:15:00+00:00,,,,,88,91,83,91,93,97,93,97,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001760,2025-05-11T22:16:00+00:00,,,,,91,93,89,93,97,97,95,95,0,200
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001820,2025-05-11T22:17:00+00:00,93.0,93.0,93.0,93.0,93,93,86,89,95,97,91,92,200,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001880,2025-05-11T22:18:00+00:00,,,,,89,90,87,89,92,93,91,92,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747001940,2025-05-11T22:19:00+00:00,,,,,89,91,84,89,92,94,91,92,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002000,2025-05-11T22:20:00+00:00,,,,,89,95,87,93,92,96,92,95,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002060,2025-05-11T22:21:00+00:00,,,,,93,93,93,93,95,95,95,95,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002120,2025-05-11T22:22:00+00:00,,,,,93,94,93,94,95,95,95,95,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002180,2025-05-11T22:23:00+00:00,,,,,94,94,93,93,95,95,95,95,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002240,2025-05-11T22:24:00+00:00,,,,,93,93,91,91,95,95,94,94,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002300,2025-05-11T22:25:00+00:00,,,,,91,91,80,87,94,94,89,90,0,118
KXBTCD-25MAY1119-T103499.99,KXBTCD,1747002360,2025-05-11T22:26:00+00:00,,,,,87,87,78,83,90,90,85,85,0,118
