2025-05-21 17:18:01,396 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:349 - Processing session 25MAY12_17 (logs: session_25MAY12_17_random_forest_20250521_170924.log)
2025-05-21 17:18:01,397 - INFO - utils.clear_binance_cache:53 - Utils: All Binance data caches cleared.
2025-05-21 17:18:01,397 - INFO - utils.clear_kalshi_cache:58 - Utils: Kalshi market minute data cache cleared.
2025-05-21 17:18:01,397 - INFO - Backtest_random_forest_CalV2_15m.main_backtest_loop:370 -   Session 25MAY12_17: Binance data range for TA: 2025-05-11 18:00 to 2025-05-12 22:00
2025-05-21 17:18:01,397 - INFO - utils.load_and_prepare_binance_range_with_features:197 - Utils: Preparing Binance data with features for range: 2025-05-11 to 2025-05-12
2025-05-21 17:18:01,405 - INFO - utils.load_and_prepare_binance_range_with_features:226 - Utils: Calculating TA features on combined Binance data (5760 rows)...
2025-05-21 17:18:01,409 - INFO - utils.load_and_prepare_binance_range_with_features:240 - Utils: Binance features calculated and cached for the requested range 2025-05-11 to 2025-05-12.
2025-05-21 17:18:01,409 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:110 - --- Starting Backtest for Session: 25MAY12_17 ---
2025-05-21 17:18:15,475 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:36 | P(YES):0.661 P(YES):0.661 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$312.55
2025-05-21 17:18:15,518 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:37 | P(YES):0.666 P(YES):0.666 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$308.70
2025-05-21 17:18:15,561 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:38 | P(YES):0.660 P(YES):0.660 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$305.40
2025-05-21 17:18:15,604 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:39 | P(YES):0.661 P(YES):0.661 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$302.10
2025-05-21 17:18:15,645 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:40 | P(YES):0.660 P(YES):0.660 | BUY_YES x6@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-330c | Cap:$298.80
2025-05-21 17:18:15,688 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:41 | P(YES):0.668 P(YES):0.668 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$294.95
2025-05-21 17:18:15,731 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:42 | P(YES):0.676 P(YES):0.676 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$291.10
2025-05-21 17:18:15,774 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:43 | P(YES):0.674 P(YES):0.674 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$287.25
2025-05-21 17:18:15,817 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:44 | P(YES):0.675 P(YES):0.675 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$283.40
2025-05-21 17:18:15,857 - INFO - Backtest_random_forest_CalV2_15m.run_hourly_session_backtest:251 - TRADE: KXBTCD-25MAY1217-T104249.99 @ 01:45 | P(YES):0.675 P(YES):0.675 | BUY_YES x7@55c (Exec B:43, Exec A:55) | Outcome:NO | PNL:-385c | Cap:$279.55
