market_ticker,result,event_resolution_time_iso,reference_btc_price_for_ntm,kalshi_strike_price,market_open_time_iso,market_close_time_iso,event_ticker_parent
KXBTCD-25MAY1522-T103249.99,yes,2025-05-16T02:00:00+00:00,103709.1,103249.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T102999.99,yes,2025-05-16T02:00:00+00:00,103709.1,102999.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T102749.99,yes,2025-05-16T02:00:00+00:00,103709.1,102749.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T102499.99,yes,2025-05-16T02:00:00+00:00,103709.1,102499.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T102249.99,yes,2025-05-16T02:00:00+00:00,103709.1,102249.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T101999.99,yes,2025-05-16T02:00:00+00:00,103709.1,101999.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T101749.99,yes,2025-05-16T02:00:00+00:00,103709.1,101749.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T101499.99,yes,2025-05-16T02:00:00+00:00,103709.1,101499.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T101249.99,yes,2025-05-16T02:00:00+00:00,103709.1,101249.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T100999.99,yes,2025-05-16T02:00:00+00:00,103709.1,100999.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T100749.99,yes,2025-05-16T02:00:00+00:00,103709.1,100749.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T100499.99,yes,2025-05-16T02:00:00+00:00,103709.1,100499.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T100249.99,yes,2025-05-16T02:00:00+00:00,103709.1,100249.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
KXBTCD-25MAY1522-T99999.99,yes,2025-05-16T02:00:00+00:00,103709.1,99999.99,2025-05-16T01:00:00+00:00,2025-05-16T02:00:00+00:00,KXBTCD-25MAY1522
