market_ticker,result,event_resolution_time_iso
KXBTCD-25MAY1521-T97249.99,yes,
KXBTCD-25MAY1521-T96999.99,yes,
KXBTCD-25MAY1521-T96749.99,yes,
KXBTCD-25MAY1521-T96499.99,yes,
KXBTCD-25MAY1521-T96249.99,yes,
KXBTCD-25MAY1521-T95999.99,yes,
KXBTCD-25MAY1521-T95749.99,yes,
KXBTCD-25MAY1521-T95499.99,yes,
KXBTCD-25MAY1521-T95249.99,yes,
KXBTCD-25MAY1521-T94999.99,yes,
KXBTCD-25MAY1521-T94749.99,yes,
KXBTCD-25MAY1521-T94499.99,yes,
KXBTCD-25MAY1521-T94249.99,yes,
KXBTCD-25MAY1521-T93999.99,yes,
KXBTCD-25MAY1521-T93749.99,yes,
KXBTCD-25MAY1520-T112249.99,no,
KXBTCD-25MAY1520-T111999.99,no,
KXBTCD-25MAY1520-T111749.99,no,
KXBTCD-25MAY1520-T111499.99,no,
KXBTCD-25MAY1520-T111249.99,no,
KXBTCD-25MAY1520-T110999.99,no,
KXBTCD-25MAY1520-T110749.99,no,
KXBTCD-25MAY1520-T110499.99,no,
KXBTCD-25MAY1520-T110249.99,no,
KXBTCD-25MAY1520-T109999.99,no,
KXBTCD-25MAY1520-T109749.99,no,
KXBTCD-25MAY1520-T109499.99,no,
KXBTCD-25MAY1520-T109249.99,no,
KXBTCD-25MAY1520-T108999.99,no,
KXBTCD-25MAY1520-T108749.99,no,
KXBTCD-25MAY1520-T108499.99,no,
KXBTCD-25MAY1520-T108249.99,no,
KXBTCD-25MAY1520-T107999.99,no,
KXBTCD-25MAY1520-T107749.99,no,
KXBTCD-25MAY1520-T107499.99,no,
KXBTCD-25MAY1520-T107249.99,no,
KXBTCD-25MAY1520-T106999.99,no,
KXBTCD-25MAY1520-T106749.99,no,
KXBTCD-25MAY1520-T106499.99,no,
KXBTCD-25MAY1520-T106249.99,no,
KXBTCD-25MAY1520-T105999.99,no,
KXBTCD-25MAY1520-T105749.99,no,
KXBTCD-25MAY1520-T105499.99,no,
KXBTCD-25MAY1520-T105249.99,no,
KXBTCD-25MAY1520-T104999.99,no,
KXBTCD-25MAY1520-T104749.99,no,
KXBTCD-25MAY1520-T104499.99,no,
KXBTCD-25MAY1520-T104249.99,no,
KXBTCD-25MAY1520-T103999.99,no,
KXBTCD-25MAY1520-T103749.99,yes,
KXBTCD-25MAY1520-T103499.99,yes,
KXBTCD-25MAY1520-T99999.99,yes,
KXBTCD-25MAY1520-T99749.99,yes,
KXBTCD-25MAY1520-T99499.99,yes,
KXBTCD-25MAY1520-T103249.99,yes,
KXBTCD-25MAY1520-T102999.99,yes,
KXBTCD-25MAY1520-T102749.99,yes,
KXBTCD-25MAY1520-T102499.99,yes,
KXBTCD-25MAY1520-T102249.99,yes,
KXBTCD-25MAY1520-T101999.99,yes,
KXBTCD-25MAY1520-T101749.99,yes,
KXBTCD-25MAY1520-T101499.99,yes,
KXBTCD-25MAY1520-T101249.99,yes,
KXBTCD-25MAY1520-T100999.99,yes,
KXBTCD-25MAY1520-T100749.99,yes,
KXBTCD-25MAY1520-T100499.99,yes,
KXBTCD-25MAY1520-T100249.99,yes,
KXBTCD-25MAY1520-T99249.99,yes,
KXBTCD-25MAY1520-T98999.99,yes,
KXBTCD-25MAY1520-T98749.99,yes,
KXBTCD-25MAY1520-T98499.99,yes,
KXBTCD-25MAY1520-T98249.99,yes,
KXBTCD-25MAY1520-T97999.99,yes,
KXBTCD-25MAY1520-T97749.99,yes,
KXBTCD-25MAY1520-T97499.99,yes,
KXBTCD-25MAY1520-T97249.99,yes,
KXBTCD-25MAY1520-T96999.99,yes,
KXBTCD-25MAY1520-T96749.99,yes,
KXBTCD-25MAY1520-T96499.99,yes,
KXBTCD-25MAY1520-T96249.99,yes,
KXBTCD-25MAY1520-T95999.99,yes,
KXBTCD-25MAY1520-T95749.99,yes,
KXBTCD-25MAY1520-T95499.99,yes,
KXBTCD-25MAY1520-T95249.99,yes,
KXBTCD-25MAY1520-T94999.99,yes,
KXBTCD-25MAY1520-T94749.99,yes,
KXBTCD-25MAY1520-T94499.99,yes,
KXBTCD-25MAY1520-T94249.99,yes,
KXBTCD-25MAY1520-T93999.99,yes,
KXBTCD-25MAY1520-T93749.99,yes,
KXBTCD-25MAY1519-T112249.99,no,
KXBTCD-25MAY1519-T111999.99,no,
KXBTCD-25MAY1519-T111749.99,no,
KXBTCD-25MAY1519-T111499.99,no,
KXBTCD-25MAY1519-T111249.99,no,
KXBTCD-25MAY1519-T110999.99,no,
KXBTCD-25MAY1519-T110749.99,no,
KXBTCD-25MAY1519-T110499.99,no,
KXBTCD-25MAY1519-T110249.99,no,
KXBTCD-25MAY1519-T109999.99,no,
KXBTCD-25MAY1519-T109749.99,no,
KXBTCD-25MAY1519-T109499.99,no,
KXBTCD-25MAY1519-T109249.99,no,
KXBTCD-25MAY1519-T108999.99,no,
KXBTCD-25MAY1519-T108749.99,no,
KXBTCD-25MAY1519-T108499.99,no,
KXBTCD-25MAY1519-T108249.99,no,
KXBTCD-25MAY1519-T107999.99,no,
KXBTCD-25MAY1519-T107749.99,no,
KXBTCD-25MAY1519-T107499.99,no,
KXBTCD-25MAY1519-T107249.99,no,
KXBTCD-25MAY1519-T106999.99,no,
KXBTCD-25MAY1519-T106749.99,no,
KXBTCD-25MAY1519-T106499.99,no,
KXBTCD-25MAY1519-T106249.99,no,
KXBTCD-25MAY1519-T105999.99,no,
KXBTCD-25MAY1519-T105749.99,no,
KXBTCD-25MAY1519-T105499.99,no,
KXBTCD-25MAY1519-T105249.99,no,
KXBTCD-25MAY1519-T104999.99,no,
KXBTCD-25MAY1519-T104749.99,no,
KXBTCD-25MAY1519-T104499.99,no,
KXBTCD-25MAY1519-T104249.99,no,
KXBTCD-25MAY1519-T103999.99,no,
KXBTCD-25MAY1519-T103749.99,no,
KXBTCD-25MAY1519-T103499.99,yes,
KXBTCD-25MAY1519-T99999.99,yes,
KXBTCD-25MAY1519-T99749.99,yes,
KXBTCD-25MAY1519-T99499.99,yes,
KXBTCD-25MAY1519-T103249.99,yes,
KXBTCD-25MAY1519-T102999.99,yes,
KXBTCD-25MAY1519-T102749.99,yes,
KXBTCD-25MAY1519-T102499.99,yes,
KXBTCD-25MAY1519-T102249.99,yes,
KXBTCD-25MAY1519-T101999.99,yes,
KXBTCD-25MAY1519-T101749.99,yes,
KXBTCD-25MAY1519-T101499.99,yes,
KXBTCD-25MAY1519-T101249.99,yes,
KXBTCD-25MAY1519-T100999.99,yes,
KXBTCD-25MAY1519-T100749.99,yes,
KXBTCD-25MAY1519-T100499.99,yes,
KXBTCD-25MAY1519-T100249.99,yes,
KXBTCD-25MAY1519-T99249.99,yes,
KXBTCD-25MAY1519-T98999.99,yes,
KXBTCD-25MAY1519-T98749.99,yes,
KXBTCD-25MAY1519-T98499.99,yes,
KXBTCD-25MAY1519-T98249.99,yes,
KXBTCD-25MAY1519-T97999.99,yes,
KXBTCD-25MAY1519-T97749.99,yes,
KXBTCD-25MAY1519-T97499.99,yes,
KXBTCD-25MAY1519-T97249.99,yes,
KXBTCD-25MAY1519-T96999.99,yes,
KXBTCD-25MAY1519-T96749.99,yes,
KXBTCD-25MAY1519-T96499.99,yes,
KXBTCD-25MAY1519-T96249.99,yes,
KXBTCD-25MAY1519-T95999.99,yes,
KXBTCD-25MAY1519-T95749.99,yes,
KXBTCD-25MAY1519-T95499.99,yes,
KXBTCD-25MAY1519-T95249.99,yes,
KXBTCD-25MAY1519-T94999.99,yes,
KXBTCD-25MAY1519-T94749.99,yes,
KXBTCD-25MAY1519-T94499.99,yes,
KXBTCD-25MAY1519-T94249.99,yes,
KXBTCD-25MAY1519-T93999.99,yes,
KXBTCD-25MAY1519-T93749.99,yes,
KXBTCD-25MAY1518-T112249.99,no,
KXBTCD-25MAY1518-T111999.99,no,
KXBTCD-25MAY1518-T111749.99,no,
KXBTCD-25MAY1518-T111499.99,no,
KXBTCD-25MAY1518-T111249.99,no,
KXBTCD-25MAY1518-T110999.99,no,
KXBTCD-25MAY1518-T110749.99,no,
KXBTCD-25MAY1518-T110499.99,no,
KXBTCD-25MAY1518-T110249.99,no,
KXBTCD-25MAY1518-T109999.99,no,
KXBTCD-25MAY1518-T109749.99,no,
KXBTCD-25MAY1518-T109499.99,no,
KXBTCD-25MAY1518-T109249.99,no,
KXBTCD-25MAY1518-T108999.99,no,
KXBTCD-25MAY1518-T108749.99,no,
KXBTCD-25MAY1518-T108499.99,no,
KXBTCD-25MAY1518-T108249.99,no,
KXBTCD-25MAY1518-T107999.99,no,
KXBTCD-25MAY1518-T107749.99,no,
KXBTCD-25MAY1518-T107499.99,no,
KXBTCD-25MAY1518-T107249.99,no,
KXBTCD-25MAY1518-T106999.99,no,
KXBTCD-25MAY1518-T106749.99,no,
KXBTCD-25MAY1518-T106499.99,no,
KXBTCD-25MAY1518-T106249.99,no,
KXBTCD-25MAY1518-T105999.99,no,
KXBTCD-25MAY1518-T105749.99,no,
KXBTCD-25MAY1518-T105499.99,no,
KXBTCD-25MAY1518-T105249.99,no,
KXBTCD-25MAY1518-T104999.99,no,
KXBTCD-25MAY1518-T104749.99,no,
KXBTCD-25MAY1518-T104499.99,no,
KXBTCD-25MAY1518-T104249.99,no,
KXBTCD-25MAY1518-T103999.99,no,
KXBTCD-25MAY1518-T103749.99,no,
KXBTCD-25MAY1518-T103499.99,no,
KXBTCD-25MAY1518-T103249.99,yes,
KXBTCD-25MAY1518-T102999.99,yes,
KXBTCD-25MAY1518-T102749.99,yes,
KXBTCD-25MAY1518-T102499.99,yes,
KXBTCD-25MAY1518-T102249.99,yes,
KXBTCD-25MAY1518-T101999.99,yes,
KXBTCD-25MAY1518-T101749.99,yes,
KXBTCD-25MAY1518-T101499.99,yes,
KXBTCD-25MAY1518-T99999.99,yes,
KXBTCD-25MAY1518-T99749.99,yes,
KXBTCD-25MAY1518-T99499.99,yes,
KXBTCD-25MAY1518-T99249.99,yes,
KXBTCD-25MAY1518-T98999.99,yes,
KXBTCD-25MAY1518-T98749.99,yes,
KXBTCD-25MAY1518-T98499.99,yes,
KXBTCD-25MAY1518-T98249.99,yes,
KXBTCD-25MAY1518-T97999.99,yes,
KXBTCD-25MAY1518-T101249.99,yes,
KXBTCD-25MAY1518-T100999.99,yes,
KXBTCD-25MAY1518-T100749.99,yes,
KXBTCD-25MAY1518-T100499.99,yes,
KXBTCD-25MAY1518-T100249.99,yes,
KXBTCD-25MAY1518-T97749.99,yes,
KXBTCD-25MAY1518-T97499.99,yes,
KXBTCD-25MAY1518-T97249.99,yes,
KXBTCD-25MAY1518-T96999.99,yes,
KXBTCD-25MAY1518-T96749.99,yes,
KXBTCD-25MAY1518-T96499.99,yes,
KXBTCD-25MAY1518-T96249.99,yes,
KXBTCD-25MAY1518-T95999.99,yes,
KXBTCD-25MAY1518-T95749.99,yes,
KXBTCD-25MAY1518-T95499.99,yes,
KXBTCD-25MAY1518-T95249.99,yes,
KXBTCD-25MAY1518-T94999.99,yes,
KXBTCD-25MAY1518-T94749.99,yes,
KXBTCD-25MAY1518-T94499.99,yes,
KXBTCD-25MAY1518-T94249.99,yes,
KXBTCD-25MAY1518-T93999.99,yes,
KXBTCD-25MAY1518-T93749.99,yes,
KXBTCD-25MAY1517-T112499.99,no,
KXBTCD-25MAY1517-T111999.99,no,
KXBTCD-25MAY1517-T111499.99,no,
KXBTCD-25MAY1517-T110999.99,no,
KXBTCD-25MAY1517-T110499.99,no,
KXBTCD-25MAY1517-T109999.99,no,
KXBTCD-25MAY1517-T109499.99,no,
KXBTCD-25MAY1517-T108999.99,no,
KXBTCD-25MAY1517-T108499.99,no,
KXBTCD-25MAY1517-T107999.99,no,
KXBTCD-25MAY1517-T107499.99,no,
KXBTCD-25MAY1517-T106999.99,no,
KXBTCD-25MAY1517-T106499.99,no,
KXBTCD-25MAY1517-T105999.99,no,
KXBTCD-25MAY1517-T105499.99,no,
KXBTCD-25MAY1517-T104999.99,no,
KXBTCD-25MAY1517-T104499.99,no,
KXBTCD-25MAY1517-T103999.99,no,
KXBTCD-25MAY1517-T103499.99,no,
KXBTCD-25MAY1517-T102999.99,yes,
KXBTCD-25MAY1517-T102499.99,yes,
KXBTCD-25MAY1517-T101999.99,yes,
KXBTCD-25MAY1517-T101499.99,yes,
KXBTCD-25MAY1517-T100999.99,yes,
KXBTCD-25MAY1517-T100499.99,yes,
KXBTCD-25MAY1517-T99999.99,yes,
KXBTCD-25MAY1517-T99499.99,yes,
KXBTCD-25MAY1517-T98999.99,yes,
KXBTCD-25MAY1517-T98499.99,yes,
KXBTCD-25MAY1517-T97999.99,yes,
KXBTCD-25MAY1517-T97499.99,yes,
KXBTCD-25MAY1517-T96999.99,yes,
KXBTCD-25MAY1517-T96499.99,yes,
KXBTCD-25MAY1517-T95999.99,yes,
KXBTCD-25MAY1517-T95499.99,yes,
KXBTCD-25MAY1517-T94999.99,yes,
KXBTCD-25MAY1517-T94499.99,yes,
KXBTCD-25MAY1517-T93999.99,yes,
KXBTCD-25MAY1517-T93499.99,yes,
KXBTCD-25MAY1517-T92999.99,yes,
KXBTCD-25MAY1516-T112249.99,no,
KXBTCD-25MAY1516-T111999.99,no,
KXBTCD-25MAY1516-T111749.99,no,
KXBTCD-25MAY1516-T111499.99,no,
KXBTCD-25MAY1516-T111249.99,no,
KXBTCD-25MAY1516-T110999.99,no,
KXBTCD-25MAY1516-T110749.99,no,
KXBTCD-25MAY1516-T110499.99,no,
KXBTCD-25MAY1516-T110249.99,no,
KXBTCD-25MAY1516-T109999.99,no,
KXBTCD-25MAY1516-T109749.99,no,
KXBTCD-25MAY1516-T109499.99,no,
KXBTCD-25MAY1516-T109249.99,no,
KXBTCD-25MAY1516-T108999.99,no,
KXBTCD-25MAY1516-T108749.99,no,
KXBTCD-25MAY1516-T108499.99,no,
KXBTCD-25MAY1516-T108249.99,no,
KXBTCD-25MAY1516-T107999.99,no,
KXBTCD-25MAY1516-T107749.99,no,
KXBTCD-25MAY1516-T107499.99,no,
KXBTCD-25MAY1516-T107249.99,no,
KXBTCD-25MAY1516-T106999.99,no,
KXBTCD-25MAY1516-T106749.99,no,
KXBTCD-25MAY1516-T106499.99,no,
KXBTCD-25MAY1516-T106249.99,no,
KXBTCD-25MAY1516-T105999.99,no,
KXBTCD-25MAY1516-T105749.99,no,
KXBTCD-25MAY1516-T105499.99,no,
KXBTCD-25MAY1516-T105249.99,no,
KXBTCD-25MAY1516-T104999.99,no,
KXBTCD-25MAY1516-T104749.99,no,
KXBTCD-25MAY1516-T104499.99,no,
KXBTCD-25MAY1516-T104249.99,no,
KXBTCD-25MAY1516-T103999.99,no,
KXBTCD-25MAY1516-T103749.99,no,
KXBTCD-25MAY1516-T103499.99,no,
KXBTCD-25MAY1516-T103249.99,no,
KXBTCD-25MAY1516-T99999.99,yes,
KXBTCD-25MAY1516-T99749.99,yes,
KXBTCD-25MAY1516-T99499.99,yes,
KXBTCD-25MAY1516-T102999.99,yes,
KXBTCD-25MAY1516-T102749.99,yes,
KXBTCD-25MAY1516-T102499.99,yes,
KXBTCD-25MAY1516-T102249.99,yes,
KXBTCD-25MAY1516-T101999.99,yes,
KXBTCD-25MAY1516-T101749.99,yes,
KXBTCD-25MAY1516-T101499.99,yes,
KXBTCD-25MAY1516-T101249.99,yes,
KXBTCD-25MAY1516-T100999.99,yes,
KXBTCD-25MAY1516-T100749.99,yes,
KXBTCD-25MAY1516-T100499.99,yes,
KXBTCD-25MAY1516-T100249.99,yes,
KXBTCD-25MAY1516-T99249.99,yes,
KXBTCD-25MAY1516-T98999.99,yes,
KXBTCD-25MAY1516-T98749.99,yes,
KXBTCD-25MAY1516-T98499.99,yes,
KXBTCD-25MAY1516-T98249.99,yes,
KXBTCD-25MAY1516-T97999.99,yes,
KXBTCD-25MAY1516-T97749.99,yes,
KXBTCD-25MAY1516-T97499.99,yes,
KXBTCD-25MAY1516-T97249.99,yes,
KXBTCD-25MAY1516-T96999.99,yes,
KXBTCD-25MAY1516-T96749.99,yes,
KXBTCD-25MAY1516-T96499.99,yes,
KXBTCD-25MAY1516-T96249.99,yes,
KXBTCD-25MAY1516-T95999.99,yes,
KXBTCD-25MAY1516-T95749.99,yes,
KXBTCD-25MAY1516-T95499.99,yes,
KXBTCD-25MAY1516-T95249.99,yes,
KXBTCD-25MAY1516-T94999.99,yes,
KXBTCD-25MAY1516-T94749.99,yes,
KXBTCD-25MAY1516-T94499.99,yes,
KXBTCD-25MAY1516-T94249.99,yes,
KXBTCD-25MAY1516-T93999.99,yes,
KXBTCD-25MAY1516-T93749.99,yes,
KXBTCD-25MAY1515-T112249.99,no,
KXBTCD-25MAY1515-T111999.99,no,
KXBTCD-25MAY1515-T111749.99,no,
KXBTCD-25MAY1515-T111499.99,no,
KXBTCD-25MAY1515-T111249.99,no,
KXBTCD-25MAY1515-T110999.99,no,
KXBTCD-25MAY1515-T110749.99,no,
KXBTCD-25MAY1515-T110499.99,no,
KXBTCD-25MAY1515-T110249.99,no,
KXBTCD-25MAY1515-T109999.99,no,
KXBTCD-25MAY1515-T109749.99,no,
KXBTCD-25MAY1515-T109499.99,no,
KXBTCD-25MAY1515-T109249.99,no,
KXBTCD-25MAY1515-T108999.99,no,
KXBTCD-25MAY1515-T108749.99,no,
KXBTCD-25MAY1515-T108499.99,no,
KXBTCD-25MAY1515-T108249.99,no,
KXBTCD-25MAY1515-T107999.99,no,
KXBTCD-25MAY1515-T107749.99,no,
KXBTCD-25MAY1515-T107499.99,no,
KXBTCD-25MAY1515-T107249.99,no,
KXBTCD-25MAY1515-T106999.99,no,
KXBTCD-25MAY1515-T106749.99,no,
KXBTCD-25MAY1515-T106499.99,no,
KXBTCD-25MAY1515-T106249.99,no,
KXBTCD-25MAY1515-T105999.99,no,
KXBTCD-25MAY1515-T105749.99,no,
KXBTCD-25MAY1515-T105499.99,no,
KXBTCD-25MAY1515-T105249.99,no,
KXBTCD-25MAY1515-T104999.99,no,
KXBTCD-25MAY1515-T104749.99,no,
KXBTCD-25MAY1515-T104499.99,no,
KXBTCD-25MAY1515-T104249.99,no,
KXBTCD-25MAY1515-T103999.99,no,
KXBTCD-25MAY1515-T103749.99,no,
KXBTCD-25MAY1515-T103499.99,no,
KXBTCD-25MAY1515-T103249.99,no,
KXBTCD-25MAY1515-T102999.99,no,
KXBTCD-25MAY1515-T102749.99,no,
KXBTCD-25MAY1515-T102499.99,yes,
KXBTCD-25MAY1515-T102249.99,yes,
KXBTCD-25MAY1515-T101999.99,yes,
KXBTCD-25MAY1515-T101749.99,yes,
KXBTCD-25MAY1515-T101499.99,yes,
KXBTCD-25MAY1515-T101249.99,yes,
KXBTCD-25MAY1515-T100999.99,yes,
KXBTCD-25MAY1515-T100749.99,yes,
KXBTCD-25MAY1515-T100499.99,yes,
KXBTCD-25MAY1515-T99999.99,yes,
