trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,kalshi_outcome_target,pnl_cents,strike_price,time_to_resolution_minutes,current_btc_price,current_dist_strike_abs,current_dist_strike_pct,btc_price_change_pct_1m,btc_price_change_pct_3m,btc_price_change_pct_5m,btc_price_change_pct_10m,btc_price_change_pct_15m,btc_price_change_pct_30m,btc_volatility_5m,btc_volatility_15m,btc_volatility_30m,current_kalshi_yes_bid,current_kalshi_yes_ask,current_kalshi_mid_price,current_kalshi_spread_abs,current_kalshi_spread_pct
2025-05-20T18:32:01+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765921,27.98,BUY_NO,0.1784,82,1,0,18,106249.990000,27.980000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.140000,0.125000,0.030000,0.240000
2025-05-20T18:32:02+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765922,27.97,BUY_NO,0.1784,82,1,0,18,106249.990000,27.970000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.140000,0.125000,0.030000,0.240000
2025-05-20T18:32:02+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765922,27.97,BUY_NO,0.0906,91,1,0,9,106499.990000,27.970000,105772.730000,-727.260000,-0.006829,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.030000,0.070000,0.050000,0.040000,0.800000
2025-05-20T18:32:02+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765922,27.97,BUY_NO,0.0906,91,1,0,9,106499.990000,27.970000,105772.730000,-727.260000,-0.006829,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.030000,0.070000,0.050000,0.040000,0.800000
2025-05-20T18:32:02+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765922,27.97,BUY_NO,0.0906,91,1,0,9,106499.990000,27.970000,105772.730000,-727.260000,-0.006829,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.030000,0.070000,0.050000,0.040000,0.800000
2025-05-20T18:32:03+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765923,27.95,BUY_NO,0.1796,82,1,0,18,106249.990000,27.950000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.160000,0.135000,0.050000,0.370370
2025-05-20T18:32:03+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765923,27.95,BUY_NO,0.1784,82,1,0,18,106249.990000,27.950000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.140000,0.125000,0.030000,0.240000
2025-05-20T18:32:03+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765923,27.95,BUY_NO,0.1796,82,1,0,18,106249.990000,27.950000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.160000,0.135000,0.050000,0.370370
2025-05-20T18:32:03+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765923,27.95,BUY_NO,0.1796,82,1,0,18,106249.990000,27.950000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.160000,0.135000,0.050000,0.370370
2025-05-20T18:32:03+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765923,27.95,BUY_NO,0.1787,82,1,0,18,106249.990000,27.950000,105772.730000,-477.260000,-0.004492,0.000215,-0.000221,-0.002322,-0.001903,-0.003545,-0.003426,77.058146,160.642125,210.430676,0.110000,0.150000,0.130000,0.040000,0.307692
