trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-20T18:32:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765920,28.00,BUY_NO,0.0947,90,1,0,10
2025-05-20T18:32:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765920,28.00,BUY_NO,0.1459,85,1,0,15
2025-05-20T18:33:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747765980,27.00,BUY_NO,0.1586,84,1,0,16
2025-05-20T18:33:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765980,27.00,BUY_NO,0.0791,92,1,0,8
2025-05-20T18:34:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766040,26.00,BUY_NO,0.2402,75,1,0,25
2025-05-20T18:34:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766040,26.00,BUY_NO,0.0985,90,1,0,10
2025-05-20T18:35:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766100,25.00,BUY_NO,0.2034,79,1,0,21
2025-05-20T18:35:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766100,25.00,BUY_NO,0.1098,89,1,0,11
2025-05-20T18:36:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766160,24.00,BUY_NO,0.2456,75,1,0,25
2025-05-20T18:36:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766160,24.00,BUY_NO,0.1262,87,1,0,13
2025-05-20T18:37:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766220,23.00,BUY_NO,0.2870,71,1,0,29
2025-05-20T18:37:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766220,23.00,BUY_NO,0.1307,86,1,0,14
2025-05-20T18:38:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766280,22.00,BUY_NO,0.3577,64,1,0,36
2025-05-20T18:38:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766280,22.00,BUY_NO,0.1431,85,1,0,15
2025-05-20T18:39:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766340,21.00,BUY_NO,0.1135,88,1,0,12
2025-05-20T18:39:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766340,21.00,BUY_NO,0.3155,68,1,0,32
2025-05-20T18:40:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766400,20.00,BUY_NO,0.1771,82,1,0,18
2025-05-20T18:40:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766400,20.00,BUY_NO,0.0684,93,1,0,7
2025-05-20T18:41:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766460,19.00,BUY_NO,0.1608,83,1,0,17
2025-05-20T18:41:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766460,19.00,BUY_NO,0.0526,94,1,0,6
2025-05-20T18:42:00+00:00,KXBTCD-25MAY2015-T106249.99,106249.99,1747767600,1747766520,18.00,BUY_NO,0.0649,93,1,0,7
2025-05-20T18:42:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766520,18.00,BUY_NO,0.0581,94,1,0,6
2025-05-20T19:35:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747769700,25.00,BUY_YES,0.7182,71,1,1,29
2025-05-20T19:36:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747769760,24.00,BUY_YES,0.6889,68,1,1,32
2025-05-20T19:37:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747769820,23.00,BUY_YES,0.7586,75,1,1,25
2025-05-20T19:38:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747769880,22.00,BUY_YES,0.7556,75,1,1,25
2025-05-20T19:39:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747769940,21.00,BUY_YES,0.7270,72,1,1,28
2025-05-20T19:40:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770000,20.00,BUY_YES,0.6805,68,1,1,32
2025-05-20T19:41:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770060,19.00,BUY_YES,0.7858,78,1,1,22
2025-05-20T19:42:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770120,18.00,BUY_YES,0.7984,79,1,1,21
2025-05-20T19:43:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770180,17.00,BUY_YES,0.8218,82,1,1,18
2025-05-20T19:44:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770240,16.00,BUY_YES,0.8791,87,1,1,13
2025-05-20T19:45:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770300,15.00,BUY_YES,0.7560,75,1,1,25
