trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698900,5.00,BUY_YES,0.9611,96,7,1,28,50000,0.0275,687,672
2025-05-19T23:57:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747699020,3.00,BUY_YES,0.9649,96,31,1,124,50028,0.1216,3042,2976
2025-05-20T19:51:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770660,9.00,BUY_YES,0.9624,96,15,1,60,50152,0.0599,1502,1440
2025-05-20T19:53:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770780,7.00,BUY_YES,0.9607,96,4,1,16,50212,0.0187,471,384
2025-05-20T19:54:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770840,6.00,BUY_YES,0.9604,96,2,1,8,50228,0.0090,227,192
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777980,7.00,BUY_YES,0.9640,96,26,1,104,50236,0.0996,2501,2496
2025-05-20T21:54:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747778040,6.00,BUY_YES,0.9612,96,7,1,28,50340,0.0290,730,672
2025-05-20T22:34:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780440,26.00,BUY_YES,0.9602,96,1,1,4,50368,0.0055,138,96
2025-05-20T22:40:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780800,20.00,BUY_YES,0.9613,96,8,1,32,50372,0.0326,821,768
2025-05-20T22:41:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780860,19.00,BUY_YES,0.9631,96,20,1,80,50404,0.0782,1970,1920
2025-05-20T22:42:00+00:00,KXBTCD-25MAY2019-T105999.99,105999.99,1747782000,1747780920,18.00,BUY_YES,0.9619,96,12,1,48,50484,0.0472,1192,1152
