trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697760,24.00,BUY_NO,0.0776,92,8,0,64,50000,0.0296,739,736
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697880,22.00,BUY_NO,0.0661,93,15,0,105,50064,0.0558,1398,1395
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697940,21.00,BUY_NO,0.0665,93,13,0,91,50169,0.0500,1254,1209
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747698000,20.00,BUY_NO,0.0660,93,15,0,105,50260,0.0570,1432,1395
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698300,15.00,BUY_YES,0.9346,93,17,1,119,50365,0.0663,1670,1581
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698420,13.00,BUY_YES,0.9444,94,19,1,114,50484,0.0740,1868,1786
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698480,12.00,BUY_YES,0.9512,95,6,1,30,50598,0.0232,588,570
2025-05-19T23:50:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747698600,10.00,BUY_NO,0.0583,94,7,0,42,50628,0.0278,703,658
2025-05-19T23:55:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698900,5.00,BUY_YES,0.9611,96,7,1,28,50670,0.0275,696,672
2025-05-19T23:57:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747699020,3.00,BUY_YES,0.9649,96,32,1,128,50698,0.1216,3083,3072
2025-05-20T18:33:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747765980,27.00,BUY_NO,0.0791,92,3,0,24,50826,0.0110,279,276
2025-05-20T18:34:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766040,26.00,BUY_NO,0.0985,90,4,0,40,50850,0.0151,383,360
2025-05-20T18:40:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766400,20.00,BUY_NO,0.0684,93,6,0,42,50890,0.0228,581,558
2025-05-20T18:42:00+00:00,KXBTCD-25MAY2015-T106499.99,106499.99,1747767600,1747766520,18.00,BUY_NO,0.0581,94,8,0,48,50932,0.0316,804,752
2025-05-20T19:51:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770660,9.00,BUY_YES,0.9624,96,15,1,60,50980,0.0599,1526,1440
2025-05-20T19:53:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770780,7.00,BUY_YES,0.9607,96,4,1,16,51040,0.0187,478,384
2025-05-20T19:54:00+00:00,KXBTCD-25MAY2016-T106499.99,106499.99,1747771200,1747770840,6.00,BUY_YES,0.9604,96,2,1,8,51056,0.0090,231,192
2025-05-20T21:32:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776720,28.00,BUY_NO,0.0459,95,21,0,105,51064,0.0815,2082,1995
2025-05-20T21:33:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776780,27.00,BUY_NO,0.0664,93,14,0,98,51169,0.0509,1302,1302
2025-05-20T21:34:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776840,26.00,BUY_NO,0.0679,93,8,0,56,51267,0.0304,780,744
2025-05-20T21:35:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776900,25.00,BUY_NO,0.0684,93,6,0,42,51323,0.0225,577,558
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776960,24.00,BUY_NO,0.0989,90,3,0,30,51365,0.0111,286,270
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776960,24.00,BUY_NO,0.0979,90,5,0,50,51395,0.0210,539,450
2025-05-20T21:40:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777200,20.00,BUY_NO,0.0578,94,9,0,54,51445,0.0364,936,846
2025-05-20T21:41:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777260,19.00,BUY_NO,0.0570,94,13,0,78,51499,0.0496,1276,1222
