trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents,contracts_traded,actual_outcome_target,pnl_cents
2025-05-22T00:32:00+00:00,KXBTCD-25MAY2121-T109499.99,109499.99,1747875600,1747873920,28.00,BUY_YES,0.8796,87,1,1,13
2025-05-22T00:32:00+00:00,KXBTCD-25MAY2121-T109749.99,109749.99,1747875600,1747873920,28.00,BUY_YES,0.7079,70,1,1,30
2025-05-22T00:32:00+00:00,KXBTCD-25MAY2121-T109249.99,109249.99,1747875600,1747873920,28.00,BUY_YES,0.9407,94,1,1,6
2025-05-22T00:32:00+00:00,KXBTCD-25MAY2121-T108999.99,108999.99,1747875600,1747873920,28.00,BUY_YES,0.9562,95,1,1,5
2025-05-22T00:33:00+00:00,KXBTCD-25MAY2121-T109249.99,109249.99,1747875600,1747873980,27.00,BUY_YES,0.9290,92,1,1,8
2025-05-22T00:33:00+00:00,KXBTCD-25MAY2121-T109749.99,109749.99,1747875600,1747873980,27.00,BUY_YES,0.6337,63,1,1,37
2025-05-22T00:33:00+00:00,KXBTCD-25MAY2121-T108999.99,108999.99,1747875600,1747873980,27.00,BUY_YES,0.9511,95,1,1,5
2025-05-22T00:33:00+00:00,KXBTCD-25MAY2121-T109499.99,109499.99,1747875600,1747873980,27.00,BUY_YES,0.8466,84,1,1,16
2025-05-22T00:33:00+00:00,KXBTCD-25MAY2121-T109999.99,109999.99,1747875600,1747873980,27.00,BUY_NO,0.3185,68,1,0,32
2025-05-22T00:34:00+00:00,KXBTCD-25MAY2121-T109499.99,109499.99,1747875600,1747874040,26.00,BUY_YES,0.7335,73,1,1,27
2025-05-22T00:34:00+00:00,KXBTCD-25MAY2121-T109249.99,109249.99,1747875600,1747874040,26.00,BUY_YES,0.8904,89,1,1,11
2025-05-22T00:34:00+00:00,KXBTCD-25MAY2121-T109999.99,109999.99,1747875600,1747874040,26.00,BUY_NO,0.2059,79,1,0,21
2025-05-22T00:34:00+00:00,KXBTCD-25MAY2121-T108999.99,108999.99,1747875600,1747874040,26.00,BUY_YES,0.9338,93,1,1,7
2025-05-22T00:35:00+00:00,KXBTCD-25MAY2121-T109499.99,109499.99,1747875600,1747874100,25.00,BUY_YES,0.8386,83,1,1,17
2025-05-22T00:35:00+00:00,KXBTCD-25MAY2121-T109249.99,109249.99,1747875600,1747874100,25.00,BUY_YES,0.9296,92,1,1,8
2025-05-22T00:35:00+00:00,KXBTCD-25MAY2121-T109999.99,109999.99,1747875600,1747874100,25.00,BUY_NO,0.3484,65,1,0,35
2025-05-22T00:35:00+00:00,KXBTCD-25MAY2121-T109749.99,109749.99,1747875600,1747874100,25.00,BUY_YES,0.6352,63,1,1,37
2025-05-22T00:35:00+00:00,KXBTCD-25MAY2121-T108999.99,108999.99,1747875600,1747874100,25.00,BUY_YES,0.9519,95,1,1,5
2025-05-22T00:36:00+00:00,KXBTCD-25MAY2121-T109499.99,109499.99,1747875600,1747874160,24.00,BUY_YES,0.8659,86,1,1,14
2025-05-22T00:36:00+00:00,KXBTCD-25MAY2121-T109749.99,109749.99,1747875600,1747874160,24.00,BUY_YES,0.6753,67,1,1,33
