trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-19T23:35:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697700,25.00,BUY_YES,0.8342,83,1,1,17,50000,0.0246,123,83
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697760,24.00,BUY_NO,0.0776,92,1,0,8,50017,0.0296,148,92
2025-05-19T23:36:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747697760,24.00,BUY_YES,0.7542,75,1,1,25,50025,0.0170,85,75
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697880,22.00,BUY_NO,0.1859,81,1,0,19,50050,0.0217,108,81
2025-05-19T23:38:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697880,22.00,BUY_NO,0.0661,93,3,0,21,50069,0.0558,280,279
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747697940,21.00,BUY_NO,0.0665,93,2,0,14,50090,0.0500,250,186
2025-05-19T23:39:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747697940,21.00,BUY_NO,0.1869,81,1,0,19,50104,0.0162,81,81
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105999.99,105999.99,1747699200,1747698000,20.00,BUY_NO,0.0660,93,3,0,21,50123,0.0570,286,279
2025-05-19T23:40:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747698000,20.00,BUY_NO,0.1857,81,1,0,19,50144,0.0226,113,81
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698300,15.00,BUY_YES,0.9346,93,3,1,21,50163,0.0663,333,279
2025-05-19T23:45:00+00:00,KXBTCD-25MAY1920-T105749.99,105749.99,1747699200,1747698300,15.00,BUY_NO,0.3250,67,1,0,33,50184,0.0151,76,67
2025-05-19T23:47:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698420,13.00,BUY_YES,0.9444,94,3,1,18,50217,0.0740,372,282
2025-05-19T23:48:00+00:00,KXBTCD-25MAY1920-T105499.99,105499.99,1747699200,1747698480,12.00,BUY_YES,0.9512,95,1,1,5,50235,0.0232,117,95
