timestamp,market_ticker,type,yes_bid_price_cents,yes_bid_qty,yes_ask_price_cents,yes_ask_qty_on_no_side,sequence_num,delta_side,delta_price_cents,delta_quantity
2025-05-21T16:00:38.228732,KXBTCD-25MAY2120-T109249.99,SNAPSHOT,16,100,23,100,1,,,
2025-05-21T16:00:47.386945,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,23,100,2,no,45,8000
2025-05-21T16:00:47.406704,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,23,100,3,no,3,80000
2025-05-21T16:00:47.407469,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,23,100,4,yes,3,80000
2025-05-21T16:00:47.408008,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,23,100,5,no,71,3000
2025-05-21T16:00:47.724338,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,23,100,6,yes,4,9
2025-05-21T16:00:49.484832,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,7,no,78,1000
2025-05-21T16:00:49.484962,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,8,no,6,20000
2025-05-21T16:00:49.485472,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,9,no,51,2000
2025-05-21T16:00:49.683293,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,10,no,51,-9
2025-05-21T16:00:50.517833,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,11,no,5,-6480
2025-05-21T16:00:50.518448,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,12,no,7,4628
2025-05-21T16:00:50.625168,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,13,no,6,-20000
2025-05-21T16:00:50.744381,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,14,no,8,20000
2025-05-21T16:00:51.683841,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,15,no,7,-4628
2025-05-21T16:00:51.684089,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,16,no,9,3600
2025-05-21T16:00:51.803620,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,17,no,8,-20000
2025-05-21T16:00:51.945058,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,18,no,10,20000
2025-05-21T16:00:52.083459,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,19,yes,6,24
2025-05-21T16:00:52.103221,KXBTCD-25MAY2120-T109249.99,DELTA,16,100,22,1000,20,no,77,24
