market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761660,2025-04-16T00:01:00+00:00,,,,,0,60,0,59,68,80,65,67,0,0
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761720,2025-04-16T00:02:00+00:00,,,,,59,67,42,64,67,84,65,67,0,0
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761780,2025-04-16T00:03:00+00:00,67.0,67.0,67.0,67.0,64,68,45,64,67,81,67,72,44,44
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761840,2025-04-16T00:04:00+00:00,74.0,75.0,74.0,75.0,64,68,48,65,72,88,72,72,158,202
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761900,2025-04-16T00:05:00+00:00,73.0,73.0,68.0,68.0,65,72,61,68,72,85,69,69,43,245
KXBTCD-25APR1521-T83499.99,KXBTCD,1744761960,2025-04-16T00:06:00+00:00,60.0,60.0,54.0,54.0,68,68,51,53,69,69,56,56,47,287
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762020,2025-04-16T00:07:00+00:00,54.0,54.0,42.0,42.0,53,53,40,44,56,56,44,46,37,290
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762080,2025-04-16T00:08:00+00:00,44.0,52.0,44.0,52.0,44,52,43,51,46,55,46,54,439,544
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762140,2025-04-16T00:09:00+00:00,54.0,54.0,43.0,43.0,51,52,41,43,54,54,44,44,68,572
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762200,2025-04-16T00:10:00+00:00,43.0,52.0,42.0,45.0,43,45,41,45,44,52,44,47,1570,1638
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762260,2025-04-16T00:11:00+00:00,46.0,46.0,37.0,37.0,45,45,34,37,47,47,39,42,310,1763
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762320,2025-04-16T00:12:00+00:00,36.0,40.0,36.0,40.0,37,41,34,40,42,42,39,41,46,1809
KXBTCD-25APR1521-T83499.99,KXBTCD,1744762380,2025-04-16T00:13:00+00:00,36.0,36.0,35.0,35.0,40,40,34,34,41,42,39,39,40,1848
