market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2215-T91249.99,KXBTCD,1745344860,2025-04-22T18:01:00+00:00,,,,,0,73,0,72,86,90,77,78,0,0
KXBTCD-25APR2215-T91249.99,KXBTCD,1745344920,2025-04-22T18:02:00+00:00,75.0,75.0,75.0,75.0,72,75,55,66,78,96,77,96,10,10
KXBTCD-25APR2215-T91249.99,KXBTCD,1745344980,2025-04-22T18:03:00+00:00,78.0,78.0,78.0,78.0,66,71,60,63,96,97,71,71,1,10
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345040,2025-04-22T18:04:00+00:00,67.0,67.0,67.0,67.0,63,67,54,64,71,86,67,67,1,11
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345100,2025-04-22T18:05:00+00:00,67.0,70.0,67.0,70.0,64,64,57,64,67,70,66,66,95,106
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345160,2025-04-22T18:06:00+00:00,66.0,78.0,66.0,78.0,64,68,61,68,66,83,66,76,80,166
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345220,2025-04-22T18:07:00+00:00,76.0,84.0,76.0,84.0,68,79,68,77,76,84,75,82,183,331
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345280,2025-04-22T18:08:00+00:00,82.0,84.0,82.0,84.0,77,82,76,80,82,85,80,84,141,472
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345340,2025-04-22T18:09:00+00:00,80.0,80.0,77.0,77.0,80,80,70,71,84,84,75,75,15,473
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345400,2025-04-22T18:10:00+00:00,78.0,78.0,78.0,78.0,71,79,71,78,75,82,75,82,50,523
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345460,2025-04-22T18:11:00+00:00,75.0,75.0,74.0,74.0,78,78,50,59,82,82,61,63,120,503
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345520,2025-04-22T18:12:00+00:00,61.0,61.0,57.0,59.0,59,63,56,59,63,68,61,64,1602,1825
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345580,2025-04-22T18:13:00+00:00,64.0,64.0,58.0,58.0,59,60,52,57,64,65,57,60,127,1804
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345640,2025-04-22T18:14:00+00:00,59.0,59.0,52.0,52.0,57,57,50,56,60,60,53,59,229,1930
KXBTCD-25APR2215-T91249.99,KXBTCD,1745345700,2025-04-22T18:15:00+00:00,59.0,60.0,57.0,60.0,56,59,52,54,59,63,55,58,163,1996
