trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-20T21:32:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776720,28.00,BUY_NO,0.0459,95,21,0,105,51064,0.0815 if live_cfg.USE_KELLY_CRITERION else '',2082,1995
2025-05-20T21:33:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776780,27.00,BUY_NO,0.0664,93,14,0,98,51169,0.0509 if live_cfg.USE_KELLY_CRITERION else '',1302,1302
2025-05-20T21:34:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776840,26.00,BUY_NO,0.0679,93,8,0,56,51267,0.0304 if live_cfg.USE_KELLY_CRITERION else '',780,744
2025-05-20T21:35:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776900,25.00,BUY_NO,0.0684,93,6,0,42,51323,0.0225 if live_cfg.USE_KELLY_CRITERION else '',577,558
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747776960,24.00,BUY_NO,0.0989,90,3,0,30,51365,0.0111 if live_cfg.USE_KELLY_CRITERION else '',286,270
2025-05-20T21:36:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747776960,24.00,BUY_NO,0.0979,90,5,0,50,51395,0.0210 if live_cfg.USE_KELLY_CRITERION else '',539,450
2025-05-20T21:40:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777200,20.00,BUY_NO,0.0578,94,9,0,54,51445,0.0364 if live_cfg.USE_KELLY_CRITERION else '',936,846
2025-05-20T21:41:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777260,19.00,BUY_NO,0.0570,94,13,0,78,51499,0.0496 if live_cfg.USE_KELLY_CRITERION else '',1276,1222
2025-05-20T21:42:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777320,18.00,BUY_NO,0.0662,93,14,0,98,51577,0.0538 if live_cfg.USE_KELLY_CRITERION else '',1388,1302
2025-05-20T21:48:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777680,12.00,BUY_NO,0.0856,91,13,0,117,51675,0.0493 if live_cfg.USE_KELLY_CRITERION else '',1273,1183
2025-05-20T21:49:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777740,11.00,BUY_YES,0.9049,90,14,1,140,51792,0.0495 if live_cfg.USE_KELLY_CRITERION else '',1281,1260
2025-05-20T21:51:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777860,9.00,BUY_NO,0.0585,94,6,0,36,51932,0.0250 if live_cfg.USE_KELLY_CRITERION else '',648,564
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777920,8.00,BUY_YES,0.9327,93,10,1,70,51968,0.0388 if live_cfg.USE_KELLY_CRITERION else '',1008,930
2025-05-20T21:52:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747777920,8.00,BUY_NO,0.0598,94,1,0,6,52038,0.0041 if live_cfg.USE_KELLY_CRITERION else '',106,94
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747777980,7.00,BUY_YES,0.9640,96,26,1,104,52044,0.0996 if live_cfg.USE_KELLY_CRITERION else '',2591,2496
2025-05-20T21:53:00+00:00,KXBTCD-25MAY2018-T107249.99,107249.99,1747778400,1747777980,7.00,BUY_NO,0.0861,91,12,0,108,52148,0.0439 if live_cfg.USE_KELLY_CRITERION else '',1144,1092
2025-05-20T21:54:00+00:00,KXBTCD-25MAY2018-T106499.99,106499.99,1747778400,1747778040,6.00,BUY_YES,0.9612,96,7,1,28,52256,0.0290 if live_cfg.USE_KELLY_CRITERION else '',757,672
2025-05-20T21:55:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778100,5.00,BUY_NO,0.0579,94,9,0,54,52284,0.0356 if live_cfg.USE_KELLY_CRITERION else '',931,846
2025-05-20T21:56:00+00:00,KXBTCD-25MAY2018-T106999.99,106999.99,1747778400,1747778160,4.00,BUY_NO,0.0972,90,8,0,80,52338,0.0283 if live_cfg.USE_KELLY_CRITERION else '',742,720
