timestamp_utc_end_of_period,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
2025-05-15 03:01:00+00:00,,,,,17,70,17,70,100,100,100,100,0,0
2025-05-15 03:04:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:07:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:10:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:11:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:13:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:15:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:17:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:18:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:20:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:21:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:22:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:24:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:26:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:28:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:30:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:31:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:32:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:34:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:36:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:37:00+00:00,,,,,70,70,70,70,100,100,100,100,0,0
2025-05-15 03:38:00+00:00,,,,,70,71,70,71,100,100,100,100,0,0
2025-05-15 03:39:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:40:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:41:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:42:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:43:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:44:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:45:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:46:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:47:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:48:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:49:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:50:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:51:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:52:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:53:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:54:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:55:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:56:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:57:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:58:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 03:59:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
2025-05-15 04:00:00+00:00,,,,,71,71,71,71,100,100,100,100,0,0
