timestamp_utc_end_of_period,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
2025-05-15 03:01:00+00:00,,,,,0,0,0,0,87,87,14,14,0,0
2025-05-15 03:02:00+00:00,,,,,0,2,0,1,14,17,14,16,0,0
2025-05-15 03:03:00+00:00,,,,,1,9,0,3,16,23,16,19,0,0
2025-05-15 03:04:00+00:00,19.0,19.0,19.0,19.0,3,7,2,2,19,23,17,17,124,124
2025-05-15 03:05:00+00:00,,,,,2,2,0,0,17,17,15,15,0,124
2025-05-15 03:06:00+00:00,,,,,0,0,0,0,15,15,14,14,0,0
2025-05-15 03:07:00+00:00,,,,,0,0,0,0,14,14,14,14,0,0
2025-05-15 03:08:00+00:00,7.0,7.0,7.0,7.0,0,0,0,0,14,14,7,7,76,200
2025-05-15 03:09:00+00:00,,,,,0,5,0,5,7,7,7,7,0,200
2025-05-15 03:10:00+00:00,,,,,5,5,0,0,7,7,7,7,0,200
2025-05-15 03:11:00+00:00,7.0,7.0,7.0,7.0,0,7,0,0,7,13,7,12,200,400
2025-05-15 03:12:00+00:00,,,,,0,0,0,0,12,12,12,12,0,400
2025-05-15 03:13:00+00:00,,,,,0,0,0,0,12,14,12,14,0,400
2025-05-15 03:14:00+00:00,,,,,0,0,0,0,14,14,14,14,0,400
2025-05-15 03:15:00+00:00,,,,,0,0,0,0,14,14,12,12,0,400
2025-05-15 03:16:00+00:00,,,,,0,0,0,0,12,12,10,10,0,400
2025-05-15 03:17:00+00:00,,,,,0,0,0,0,10,11,8,10,0,400
2025-05-15 03:18:00+00:00,,,,,0,0,0,0,10,13,10,12,0,400
2025-05-15 03:19:00+00:00,,,,,0,0,0,0,12,12,10,10,0,400
2025-05-15 03:20:00+00:00,,,,,0,0,0,0,10,10,10,10,0,400
2025-05-15 03:21:00+00:00,,,,,0,0,0,0,10,10,9,9,0,400
2025-05-15 03:22:00+00:00,,,,,0,0,0,0,9,11,9,10,0,400
2025-05-15 03:23:00+00:00,,,,,0,0,0,0,10,13,10,12,0,400
2025-05-15 03:24:00+00:00,,,,,0,0,0,0,12,12,12,12,0,400
2025-05-15 03:25:00+00:00,,,,,0,1,0,1,12,12,12,12,0,400
2025-05-15 03:26:00+00:00,,,,,1,1,1,1,12,12,5,5,0,400
2025-05-15 03:27:00+00:00,,,,,1,1,1,1,5,5,4,4,0,400
2025-05-15 03:28:00+00:00,,,,,1,1,1,1,4,6,3,4,0,400
2025-05-15 03:29:00+00:00,,,,,1,1,1,1,4,6,3,3,0,400
2025-05-15 03:30:00+00:00,,,,,1,1,0,0,3,10,3,9,0,400
2025-05-15 03:31:00+00:00,,,,,0,0,0,0,9,9,9,9,0,400
2025-05-15 03:32:00+00:00,,,,,0,0,0,0,9,9,9,9,0,400
2025-05-15 03:33:00+00:00,,,,,0,0,0,0,9,9,9,9,0,400
2025-05-15 03:34:00+00:00,,,,,0,0,0,0,9,9,7,7,0,400
2025-05-15 03:35:00+00:00,,,,,0,0,0,0,7,8,3,7,0,400
2025-05-15 03:36:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:37:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:38:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:39:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:40:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:41:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:42:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:43:00+00:00,,,,,0,0,0,0,7,7,7,7,0,400
2025-05-15 03:44:00+00:00,,,,,0,0,0,0,7,7,6,6,0,400
2025-05-15 03:45:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:46:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:47:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:48:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:49:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:50:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:51:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:52:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:53:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:54:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:55:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:56:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:57:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:58:00+00:00,,,,,0,0,0,0,6,6,6,6,0,400
2025-05-15 03:59:00+00:00,,,,,0,0,0,0,6,14,6,14,0,400
2025-05-15 04:00:00+00:00,,,,,0,0,0,0,14,14,13,13,0,400
