trade_execution_time_utc,market_ticker,strike_price,resolution_time_ts,decision_timestamp_s,time_to_resolution_minutes,action,predicted_prob_yes,bet_cost_cents_per_contract,contracts_traded,actual_outcome_target,pnl_cents,current_capital_before_trade_cents,kelly_fraction_f_star,capital_to_risk_cents,trade_value_cents
2025-05-22T22:32:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953120,28.00,BUY_YES,0.9119,91,7,1,63,65640,0.0216 if live_cfg.USE_KELLY_CRITERION else '',708,637
2025-05-22T22:32:00+00:00,KXBTCD-25MAY2219-T110749.99,110749.99,1747954800,1747953120,28.00,BUY_YES,0.9637,96,31,1,124,65703,0.0919 if live_cfg.USE_KELLY_CRITERION else '',3018,2976
2025-05-22T22:33:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953180,27.00,BUY_YES,0.9120,91,7,1,63,65827,0.0220 if live_cfg.USE_KELLY_CRITERION else '',723,637
2025-05-22T22:33:00+00:00,KXBTCD-25MAY2219-T110749.99,110749.99,1747954800,1747953180,27.00,BUY_YES,0.9633,96,28,1,112,65890,0.0818 if live_cfg.USE_KELLY_CRITERION else '',2696,2688
2025-05-22T22:34:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953240,26.00,BUY_YES,0.9214,92,6,1,48,66002,0.0175 if live_cfg.USE_KELLY_CRITERION else '',579,552
2025-05-22T22:34:00+00:00,KXBTCD-25MAY2219-T110749.99,110749.99,1747954800,1747953240,26.00,BUY_YES,0.9649,96,42,1,168,66050,0.1221 if live_cfg.USE_KELLY_CRITERION else '',4033,4032
2025-05-22T22:35:00+00:00,KXBTCD-25MAY2219-T110749.99,110749.99,1747954800,1747953300,25.00,BUY_YES,0.9644,96,37,1,148,66218,0.1089 if live_cfg.USE_KELLY_CRITERION else '',3604,3552
2025-05-22T22:35:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953300,25.00,BUY_YES,0.9116,91,6,1,54,66366,0.0182 if live_cfg.USE_KELLY_CRITERION else '',605,546
2025-05-22T22:38:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953480,22.00,BUY_YES,0.9407,94,4,1,24,66420,0.0120 if live_cfg.USE_KELLY_CRITERION else '',400,376
2025-05-22T22:40:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953600,20.00,BUY_YES,0.9549,95,34,1,170,66444,0.0987 if live_cfg.USE_KELLY_CRITERION else '',3278,3230
2025-05-22T22:43:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953780,17.00,BUY_YES,0.9601,96,1,1,4,66614,0.0029 if live_cfg.USE_KELLY_CRITERION else '',97,96
2025-05-22T22:44:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953840,16.00,BUY_YES,0.9601,96,1,1,4,66618,0.0029 if live_cfg.USE_KELLY_CRITERION else '',96,96
2025-05-22T22:46:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747953960,14.00,BUY_YES,0.9428,94,16,1,96,66622,0.0461 if live_cfg.USE_KELLY_CRITERION else '',1534,1504
2025-05-22T22:46:00+00:00,KXBTCD-25MAY2219-T111499.99,111499.99,1747954800,1747953960,14.00,BUY_NO,0.0663,93,18,0,126,66718,0.0525 if live_cfg.USE_KELLY_CRITERION else '',1753,1674
2025-05-22T22:47:00+00:00,KXBTCD-25MAY2219-T111499.99,111499.99,1747954800,1747954020,13.00,BUY_NO,0.0662,93,19,0,133,66844,0.0541 if live_cfg.USE_KELLY_CRITERION else '',1807,1767
2025-05-22T22:48:00+00:00,KXBTCD-25MAY2219-T111499.99,111499.99,1747954800,1747954080,12.00,BUY_NO,0.0676,93,12,0,84,66977,0.0338 if live_cfg.USE_KELLY_CRITERION else '',1131,1116
2025-05-22T22:49:00+00:00,KXBTCD-25MAY2219-T111499.99,111499.99,1747954800,1747954140,11.00,BUY_NO,0.0671,93,14,0,98,67061,0.0410 if live_cfg.USE_KELLY_CRITERION else '',1375,1302
2025-05-22T22:50:00+00:00,KXBTCD-25MAY2219-T110999.99,110999.99,1747954800,1747954200,10.00,BUY_YES,0.9306,93,3,1,21,67159,0.0093 if live_cfg.USE_KELLY_CRITERION else '',311,279
