reception_timestamp_utc,kline_start_time_ms,kline_close_time_ms,symbol,interval,open_price,close_price,high_price,low_price,base_asset_volume,number_of_trades,is_kline_closed,quote_asset_volume,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,stream_name
2025-05-19T23:04:14.073843Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.36794000,68,False,38868.47542490,0.02697000,2849.05928730,btcusdt@kline_1m
2025-05-19T23:04:16.137602Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.38510000,77,False,40681.22490170,0.02937000,3102.59070330,btcusdt@kline_1m
2025-05-19T23:04:18.185537Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.43783000,98,False,46251.52086190,0.02955000,3121.60555950,btcusdt@kline_1m
2025-05-19T23:04:20.082624Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.09000000,105638.09000000,105638.08000000,0.54923000,119,False,58019.60299400,0.03156000,3333.93812040,btcusdt@kline_1m
2025-05-19T23:04:22.169378Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.09000000,105638.09000000,105638.08000000,0.55377000,129,False,58499.19989140,0.03298000,3483.94420820,btcusdt@kline_1m
2025-05-19T23:04:24.087792Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.56254000,144,False,59425.64586180,0.03386000,3576.90572740,btcusdt@kline_1m
2025-05-19T23:04:26.173804Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.65231000,152,False,68908.77632380,0.03590000,3792.40743100,btcusdt@kline_1m
2025-05-19T23:04:28.117472Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.66170000,159,False,69900.71789700,0.03610000,3813.53504900,btcusdt@kline_1m
2025-05-19T23:04:30.094452Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.67495000,167,False,71300.42250430,0.04083000,4313.20321470,btcusdt@kline_1m
2025-05-19T23:04:32.071145Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.75252000,178,False,79494.76837260,0.04110000,4341.72549900,btcusdt@kline_1m
2025-05-19T23:04:34.154592Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.75565000,184,False,79825.41556360,0.04116000,4348.06378440,btcusdt@kline_1m
2025-05-19T23:04:36.085217Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.89226000,193,False,94256.63432600,0.10652000,11252.56934680,btcusdt@kline_1m
2025-05-19T23:04:38.086908Z,1747695840000,1747695899999,BTCUSDT,1m,105638.08000000,105638.08000000,105638.09000000,105638.08000000,0.96702000,204,False,102154.13720050,0.10789000,11397.29353010,btcusdt@kline_1m
