market_ticker,series_ticker,timestamp_s,datetime_utc,trade_open_cents,trade_high_cents,trade_low_cents,trade_close_cents,yes_bid_open_cents,yes_bid_high_cents,yes_bid_low_cents,yes_bid_close_cents,yes_ask_open_cents,yes_ask_high_cents,yes_ask_low_cents,yes_ask_close_cents,volume,open_interest
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341260,2025-04-22T17:01:00+00:00,,,,,0,34,0,31,30,100,26,39,0,0
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341320,2025-04-22T17:02:00+00:00,31.0,38.0,31.0,38.0,31,34,23,34,39,41,34,41,301,301
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341380,2025-04-22T17:03:00+00:00,41.0,43.0,40.0,43.0,34,39,34,39,41,44,38,41,35,336
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341440,2025-04-22T17:04:00+00:00,42.0,42.0,42.0,42.0,39,47,38,44,41,67,41,50,50,386
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341500,2025-04-22T17:05:00+00:00,47.0,50.0,47.0,50.0,44,46,38,45,50,51,46,50,59,436
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341560,2025-04-22T17:06:00+00:00,45.0,47.0,44.0,47.0,45,48,39,42,50,52,45,48,78,448
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341620,2025-04-22T17:07:00+00:00,48.0,50.0,47.0,48.0,42,53,36,46,48,59,47,50,266,675
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341680,2025-04-22T17:08:00+00:00,49.0,49.0,44.0,44.0,46,46,40,43,50,50,44,47,55,725
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341740,2025-04-22T17:09:00+00:00,45.0,55.0,42.0,55.0,43,53,38,51,47,57,41,56,1012,1380
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341800,2025-04-22T17:10:00+00:00,58.0,58.0,51.0,53.0,51,60,48,50,56,90,51,53,17,1380
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341860,2025-04-22T17:11:00+00:00,46.0,47.0,44.0,44.0,50,50,37,43,53,54,41,46,52,1388
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341920,2025-04-22T17:12:00+00:00,46.0,46.0,34.0,34.0,43,44,29,29,46,49,33,33,93,1431
KXBTCD-25APR2214-T90999.99,KXBTCD,1745341980,2025-04-22T17:13:00+00:00,35.0,41.0,35.0,41.0,29,40,29,40,33,42,33,42,99,1486
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342040,2025-04-22T17:14:00+00:00,42.0,44.0,39.0,39.0,40,41,37,38,42,45,38,40,65,1541
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342100,2025-04-22T17:15:00+00:00,37.0,37.0,36.0,36.0,38,38,34,35,40,42,36,37,10,1551
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342160,2025-04-22T17:16:00+00:00,29.0,29.0,29.0,29.0,35,36,25,26,37,40,27,28,30,1566
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342220,2025-04-22T17:17:00+00:00,29.0,29.0,28.0,29.0,26,29,25,28,28,31,27,29,923,1871
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342280,2025-04-22T17:18:00+00:00,29.0,30.0,25.0,26.0,28,30,18,22,29,31,23,24,2876,3972
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342340,2025-04-22T17:19:00+00:00,20.0,25.0,19.0,25.0,22,27,18,26,24,31,22,29,57,4023
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342400,2025-04-22T17:20:00+00:00,33.0,38.0,33.0,38.0,26,38,25,37,29,40,28,39,38,4056
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342460,2025-04-22T17:21:00+00:00,33.0,33.0,30.0,30.0,37,38,23,25,39,41,26,28,35,4075
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342520,2025-04-22T17:22:00+00:00,24.0,24.0,24.0,24.0,25,27,21,23,28,30,23,25,19,4094
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342580,2025-04-22T17:23:00+00:00,24.0,29.0,24.0,29.0,23,29,20,29,25,34,22,31,149,4224
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342640,2025-04-22T17:24:00+00:00,27.0,28.0,25.0,28.0,29,32,22,29,31,35,25,32,42,4261
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342700,2025-04-22T17:25:00+00:00,30.0,30.0,30.0,30.0,29,34,27,28,32,38,29,30,30,4291
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342760,2025-04-22T17:26:00+00:00,23.0,29.0,23.0,29.0,28,31,23,31,30,35,24,34,118,4354
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342820,2025-04-22T17:27:00+00:00,37.0,50.0,37.0,39.0,31,52,30,41,35,55,32,45,21,4359
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342880,2025-04-22T17:28:00+00:00,43.0,46.0,41.0,41.0,41,46,39,43,45,52,41,47,1279,5604
KXBTCD-25APR2214-T90999.99,KXBTCD,1745342940,2025-04-22T17:29:00+00:00,,,,,43,51,42,50,47,53,44,51,0,5604
