timestamp,kalshi_open_cents,kalshi_high_cents,kalshi_low_cents,kalshi_close_cents,kalshi_volume
2025-05-14 01:01:00+00:00,3,73,3,73,0
2025-05-14 01:02:00+00:00,73,91,73,91,0
2025-05-14 01:03:00+00:00,91,91,73,90,0
2025-05-14 01:04:00+00:00,90,93,70,75,0
2025-05-14 01:05:00+00:00,75,93,70,72,0
2025-05-14 01:06:00+00:00,72,93,72,92,0
2025-05-14 01:07:00+00:00,92,92,72,91,0
2025-05-14 01:08:00+00:00,91,91,72,91,0
2025-05-14 01:09:00+00:00,91,93,72,72,0
2025-05-14 01:10:00+00:00,72,72,72,72,10
2025-05-14 01:11:00+00:00,72,93,72,72,0
2025-05-14 01:12:00+00:00,72,93,72,93,0
2025-05-14 01:13:00+00:00,93,93,72,72,0
2025-05-14 01:16:00+00:00,72,72,72,72,0
2025-05-14 01:31:00+00:00,72,72,72,72,0
2025-05-14 01:50:00+00:00,72,79,70,78,0
2025-05-14 01:51:00+00:00,78,78,71,73,0
2025-05-14 01:52:00+00:00,73,73,70,73,0
2025-05-14 01:53:00+00:00,73,73,73,73,0
2025-05-14 01:54:00+00:00,73,73,71,71,0
2025-05-14 01:57:00+00:00,71,71,71,71,0
2025-05-14 01:58:00+00:00,71,71,71,71,0
2025-05-14 01:59:00+00:00,71,88,71,88,0
