timestamp,kalshi_open_cents,kalshi_high_cents,kalshi_low_cents,kalshi_close_cents,kalshi_volume
2025-05-13 23:01:00+00:00,0,90,0,60,0
2025-05-13 23:02:00+00:00,60,88,60,86,0
2025-05-13 23:03:00+00:00,86,86,57,85,0
2025-05-13 23:04:00+00:00,85,85,61,85,0
2025-05-13 23:05:00+00:00,85,85,60,81,0
2025-05-13 23:06:00+00:00,81,82,40,66,0
2025-05-13 23:07:00+00:00,66,74,40,51,0
2025-05-13 23:08:00+00:00,51,75,51,73,0
2025-05-13 23:09:00+00:00,73,85,51,85,0
2025-05-13 23:10:00+00:00,90,90,90,90,10
2025-05-13 23:11:00+00:00,85,85,85,85,0
2025-05-13 23:12:00+00:00,85,86,61,84,0
2025-05-13 23:13:00+00:00,84,87,61,87,0
2025-05-13 23:14:00+00:00,87,89,61,89,0
2025-05-13 23:15:00+00:00,89,91,66,91,0
2025-05-13 23:16:00+00:00,91,92,71,90,0
2025-05-13 23:17:00+00:00,90,91,66,90,0
2025-05-13 23:18:00+00:00,90,92,66,91,0
2025-05-13 23:19:00+00:00,91,92,66,90,0
2025-05-13 23:20:00+00:00,90,92,66,92,0
2025-05-13 23:21:00+00:00,92,92,92,92,0
2025-05-13 23:22:00+00:00,92,92,66,92,0
2025-05-13 23:25:00+00:00,92,92,62,86,0
2025-05-13 23:26:00+00:00,86,87,61,87,0
2025-05-13 23:27:00+00:00,87,90,61,90,0
2025-05-13 23:28:00+00:00,90,90,61,89,0
2025-05-13 23:29:00+00:00,89,89,59,87,0
2025-05-13 23:30:00+00:00,87,90,61,90,0
2025-05-13 23:31:00+00:00,90,91,59,60,0
2025-05-13 23:32:00+00:00,60,88,60,86,0
2025-05-13 23:33:00+00:00,86,91,60,91,0
2025-05-13 23:34:00+00:00,91,92,60,92,0
2025-05-13 23:35:00+00:00,92,92,92,92,0
2025-05-13 23:36:00+00:00,92,92,61,92,0
2025-05-13 23:37:00+00:00,92,94,70,93,0
2025-05-13 23:38:00+00:00,93,93,60,93,0
2025-05-13 23:39:00+00:00,93,93,70,93,0
2025-05-13 23:40:00+00:00,93,93,93,93,0
2025-05-13 23:41:00+00:00,93,94,70,94,0
2025-05-13 23:43:00+00:00,94,95,94,95,0
2025-05-13 23:44:00+00:00,95,95,94,94,0
2025-05-13 23:45:00+00:00,94,95,94,95,0
2025-05-13 23:53:00+00:00,95,95,70,71,0
2025-05-13 23:57:00+00:00,71,94,71,94,0
2025-05-14 00:00:00+00:00,94,95,94,95,0
