timestamp,kalshi_open_cents,kalshi_high_cents,kalshi_low_cents,kalshi_close_cents,kalshi_volume
2025-05-14 00:01:00+00:00,0,88,0,66,0
2025-05-14 00:02:00+00:00,66,66,3,58,0
2025-05-14 00:03:00+00:00,58,61,58,61,0
2025-05-14 00:05:00+00:00,61,71,60,60,0
2025-05-14 00:06:00+00:00,60,61,60,61,0
2025-05-14 00:07:00+00:00,61,82,61,82,0
2025-05-14 00:08:00+00:00,82,85,60,84,0
2025-05-14 00:09:00+00:00,84,86,60,85,0
2025-05-14 00:10:00+00:00,93,93,93,93,20
2025-05-14 00:11:00+00:00,84,85,60,85,0
2025-05-14 00:12:00+00:00,85,89,60,89,0
2025-05-14 00:13:00+00:00,89,90,70,89,0
2025-05-14 00:14:00+00:00,89,89,60,87,0
2025-05-14 00:15:00+00:00,87,89,60,89,0
2025-05-14 00:16:00+00:00,96,96,96,96,2
2025-05-14 00:17:00+00:00,90,91,70,90,0
2025-05-14 00:18:00+00:00,90,91,70,91,0
2025-05-14 00:19:00+00:00,91,92,70,92,0
2025-05-14 00:20:00+00:00,92,93,70,92,0
2025-05-14 00:21:00+00:00,92,93,70,71,0
2025-05-14 00:22:00+00:00,71,71,70,71,0
2025-05-14 00:23:00+00:00,71,93,70,71,0
2025-05-14 00:25:00+00:00,71,94,70,93,0
2025-05-14 00:26:00+00:00,93,93,70,93,0
2025-05-14 00:27:00+00:00,93,93,70,90,0
2025-05-14 00:28:00+00:00,90,91,70,91,0
2025-05-14 00:29:00+00:00,91,92,70,92,0
2025-05-14 00:30:00+00:00,92,93,70,71,0
2025-05-14 00:31:00+00:00,71,94,70,93,0
2025-05-14 00:32:00+00:00,93,93,70,92,0
2025-05-14 00:33:00+00:00,92,94,70,71,0
2025-05-14 00:59:00+00:00,71,91,70,91,0
2025-05-14 01:00:00+00:00,91,95,70,95,0
